,City,State,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30
466,Glenwood Springs,CO,516694.0,518919.0,520477.0,522356.0,523999.0,524084.0,524612.0,524306.0,526177.0,526789.0,526695.0,525862.0,526552.0,530123.0,532228.0,533644.0,533425.0,535003.0,535893.0,537666.0,537638.0,538129.0,539384.0,541241.0,543005.0,543161.0,544215.0,545485.0,548352.0,550781.0,553977.0
467,Key West,FL,556707.0,558612.0,562536.0,565412.0,566782.0,568255.0,570423.0,571454.0,573515.0,578208.0,584088.0,591277.0,595614.0,598810.0,598642.0,599584.0,598622.0,597987.0,596287.0,596275.0,595910.0,594272.0,593128.0,591360.0,591371.0,591051.0,592640.0,593975.0,597342.0,600688.0,604883.0
468,Aberdeen,WA,159902.0,161692.0,163692.0,165659.0,167514.0,169058.0,170597.0,171980.0,173921.0,175621.0,177587.0,178318.0,178860.0,179666.0,181163.0,183258.0,184726.0,186423.0,187260.0,188420.0,189360.0,190897.0,192600.0,195591.0,198932.0,201880.0,204378.0,206679.0,209872.0,213467.0,218200.0
469,Gallup,NM,142663.0,142988.0,143284.0,143304.0,143378.0,143431.0,143779.0,144059.0,144537.0,145057.0,145753.0,146459.0,147173.0,147861.0,148513.0,149239.0,150051.0,150962.0,151582.0,152152.0,152540.0,153066.0,153467.0,153945.0,154422.0,154974.0,155629.0,156393.0,157106.0,157805.0,158616.0
470,Port Angeles,WA,270491.0,271897.0,273514.0,275122.0,276808.0,278040.0,278769.0,279845.0,281655.0,284171.0,286788.0,289296.0,291374.0,293261.0,294930.0,296830.0,298530.0,299870.0,301290.0,302449.0,303162.0,303616.0,304267.0,304918.0,306206.0,307831.0,309756.0,311621.0,313665.0,316308.0,319378.0
471,Greenfield Town,MA,225814.0,227873.0,229230.0,230355.0,231482.0,232144.0,231929.0,230356.0,230167.0,228623.0,227659.0,225190.0,224578.0,223355.0,221611.0,220652.0,218634.0,217695.0,217225.0,217636.0,217266.0,217016.0,216920.0,218195.0,219506.0,221441.0,223710.0,225472.0,228282.0,231067.0,234147.0
472,Muskogee,OK,73759.0,73755.0,74069.0,74277.0,74447.0,74624.0,74844.0,75082.0,75139.0,75162.0,75156.0,75544.0,75913.0,76289.0,76514.0,76723.0,77023.0,77277.0,77545.0,77780.0,78243.0,78746.0,79276.0,79548.0,79796.0,80035.0,80273.0,80581.0,80864.0,81197.0,81512.0
473,Frankfort,KY,140758.0,141215.0,141600.0,142014.0,142366.0,142598.0,142729.0,142456.0,142419.0,142454.0,143019.0,143733.0,144453.0,145243.0,146030.0,146911.0,147745.0,148206.0,148538.0,149021.0,149437.0,149828.0,149961.0,150016.0,150032.0,150016.0,150006.0,149902.0,149816.0,150031.0,150336.0
474,Owosso,MI,118656.0,118303.0,117721.0,116875.0,117435.0,118071.0,118616.0,118859.0,119166.0,119518.0,120037.0,120624.0,121183.0,122248.0,123400.0,124623.0,125432.0,126054.0,126467.0,126598.0,126518.0,126544.0,126840.0,127098.0,127287.0,127686.0,128096.0,128535.0,128701.0,128979.0,129466.0
475,Mount Pleasant,MI,129149.0,129803.0,130413.0,130908.0,131411.0,131855.0,132302.0,132868.0,133304.0,133758.0,134134.0,134685.0,135246.0,135885.0,136599.0,137375.0,138045.0,138573.0,139027.0,139425.0,139842.0,140268.0,140685.0,140916.0,141092.0,141227.0,141321.0,141407.0,141542.0,141818.0,142143.0
476,Statesboro,GA,140004.0,140488.0,141369.0,142203.0,143062.0,143482.0,143850.0,144147.0,144898.0,145751.0,146733.0,147263.0,147787.0,148150.0,148910.0,149855.0,151140.0,151783.0,152090.0,152119.0,152053.0,151897.0,151616.0,151695.0,151682.0,151651.0,151028.0,150147.0,148863.0,148100.0,147468.0
477,Marion,IN,78439.0,78906.0,79355.0,79657.0,79958.0,80215.0,80438.0,80653.0,80916.0,81219.0,81605.0,82023.0,82761.0,83222.0,83761.0,83962.0,84380.0,84511.0,84607.0,84693.0,84886.0,85008.0,85095.0,85165.0,84921.0,84938.0,84915.0,85223.0,85375.0,85756.0,86175.0
478,Stevens Point,WI,151570.0,152435.0,153184.0,153899.0,154477.0,155122.0,155665.0,156266.0,156814.0,157425.0,158121.0,158950.0,159778.0,160533.0,161298.0,162104.0,162907.0,163760.0,164336.0,164899.0,165072.0,165437.0,165783.0,166061.0,166362.0,166620.0,166909.0,167168.0,167473.0,167686.0,168127.0
479,Minot,ND,215109.0,215162.0,214753.0,214528.0,213920.0,213869.0,213767.0,213404.0,212834.0,211849.0,211308.0,210630.0,211046.0,211748.0,213092.0,214191.0,215123.0,215911.0,216337.0,216937.0,217519.0,218683.0,219493.0,220406.0,220298.0,219779.0,218923.0,218149.0,217527.0,216708.0,216119.0
480,Shawnee,OK,89626.0,89992.0,90472.0,90944.0,91438.0,91664.0,91880.0,92046.0,92192.0,91747.0,91535.0,91507.0,92021.0,92421.0,92753.0,93458.0,94037.0,94640.0,94921.0,95211.0,95683.0,96524.0,97581.0,98300.0,98690.0,98912.0,99126.0,99040.0,99050.0,99150.0,99481.0
481,North Wilkesboro,NC,103075.0,104284.0,105446.0,105935.0,106480.0,107152.0,107814.0,108423.0,108910.0,109314.0,109669.0,110031.0,110284.0,110425.0,110737.0,111099.0,111518.0,111898.0,112269.0,112673.0,113029.0,113407.0,113850.0,114354.0,114658.0,114983.0,115188.0,115629.0,115948.0,116203.0,116434.0
482,Richmond,IN,97784.0,97777.0,97975.0,98609.0,99214.0,99731.0,99874.0,99790.0,100021.0,100257.0,100789.0,101177.0,101556.0,101946.0,102225.0,102544.0,102799.0,103009.0,103130.0,103377.0,103442.0,103537.0,103423.0,103505.0,103604.0,103681.0,103729.0,103533.0,103373.0,103240.0,103284.0
483,Greeneville,TN,96506.0,96141.0,95877.0,96593.0,97443.0,98333.0,98354.0,98473.0,98855.0,98841.0,98736.0,98329.0,98772.0,99284.0,100484.0,100796.0,101406.0,101911.0,103019.0,104136.0,104963.0,106241.0,107411.0,108903.0,109789.0,110891.0,111334.0,112162.0,112692.0,113356.0,113844.0
484,Martinsville,VA,78605.0,78780.0,78963.0,79145.0,79198.0,79206.0,79143.0,79167.0,79440.0,79784.0,80202.0,80458.0,80765.0,81062.0,81305.0,81538.0,81734.0,82027.0,82312.0,82604.0,82640.0,82589.0,82503.0,82553.0,82590.0,82607.0,82636.0,82612.0,82643.0,82578.0,82540.0
485,Forest City,NC,112974.0,113567.0,114049.0,114629.0,115102.0,115690.0,116287.0,116986.0,117642.0,118264.0,118825.0,119170.0,119545.0,119852.0,120409.0,120892.0,121495.0,122103.0,122649.0,123054.0,123375.0,123726.0,124094.0,124673.0,125290.0,125945.0,126458.0,126980.0,127450.0,127854.0,128315.0
486,Lake City,FL,142029.0,143389.0,143979.0,144668.0,144735.0,144938.0,144920.0,144997.0,145092.0,145213.0,145441.0,146669.0,147801.0,149301.0,149415.0,149592.0,148955.0,148780.0,148363.0,148249.0,148119.0,148313.0,148715.0,148292.0,148256.0,147848.0,149059.0,150415.0,152931.0,155301.0,158259.0
487,Kapaa,HI,554580.0,554634.0,555095.0,558472.0,562188.0,565761.0,568606.0,568507.0,570063.0,569992.0,575231.0,578548.0,581057.0,579890.0,578965.0,582124.0,586422.0,591561.0,594961.0,601013.0,604719.0,610817.0,611777.0,614756.0,619043.0,626700.0,633947.0,636461.0,637995.0,638943.0,641747.0
488,Marquette,MI,149440.0,150373.0,151108.0,151739.0,152277.0,152768.0,153233.0,153784.0,154533.0,155281.0,155856.0,156392.0,156929.0,157661.0,158416.0,159221.0,160009.0,160596.0,161115.0,161510.0,161748.0,161903.0,162143.0,162307.0,162463.0,162444.0,162473.0,162474.0,162528.0,162706.0,162922.0
489,LaGrange,GA,114399.0,114851.0,115353.0,115776.0,116179.0,116679.0,117203.0,118065.0,119105.0,120309.0,121226.0,121766.0,122168.0,122403.0,122682.0,122952.0,123319.0,124056.0,124779.0,125390.0,125400.0,125248.0,125067.0,125146.0,125220.0,125280.0,125162.0,124935.0,124494.0,123543.0,122434.0
