,City,State,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19
259,Bloomington,IN,207645,208717,210536,212279,213586,214856,215915,217057,217936,219113,220186,221627
260,Boulder,CO,744635,747829,751473,754972,758382,761654,763427,764355,763585,761631,760338,760795
261,Sterling Heights,MI,209722,209877,209601,209108,210437,211996,214175,214081,214242,214070,214637,215523
262,Saginaw,MI,63341,64039,64478,65047,65413,66152,66415,66894,67127,67670,68126,68178
263,Carrollton,TX,287626,288123,288030,287915,288116,288549,289270,289531,289594,289168,289364,289432
264,Coral Springs,FL,316774,316601,316263,315929,315756,316525,317689,318489,319111,319555,320157,320562
265,Thousand Oaks,CA,731046,730527,732134,736782,739069,740296,739941,739989,738917,739061,738837,741341
266,Victorville,CA,257166,257626,258372,259044,260994,262437,263214,263233,263438,264477,265756,267149
267,Roseville,CA,469242,469508,469222,469028,472878,476245,478988,480915,482459,482910,482476,483651
268,Surprise,AZ,258509,259677,260685,261119,262121,263738,265684,267338,268538,269933,271637,273662
269,New Haven,CT,179991,180737,181180,181854,183032,184218,185011,185068,184553,184047,184319,184531
270,Hamilton,OH,174085,176295,178153,179044,178763,178671,179037,179588,180181,180430,180902,181576
271,Waco,TX,136065,136890,137490,137747,138169,138604,139377,139752,140904,141417,141977,142496
272,Simi Valley,CA,587210,586007,586404,589271,590903,591441,590857,590969,590836,591984,592464,595194
273,Stamford,CT,481060,481349,480812,481354,483070,481480,479101,474725,472128,471563,471356,471454
274,Pearland,TX,276073,277065,277588,277975,278268,278909,279465,279210,279081,279006,279524,279805
275,Elizabeth,NJ,284067,287807,293108,294770,296888,298260,300962,302070,304261,306552,309296,311778
276,Denton,TX,248527,248986,248608,248306,248494,249036,249793,250066,250205,250070,250408,250661
277,Santa Fe,NM,377200,382389,386143,388602,392693,397196,399921,401153,402089,403713,405125,405856
278,Gainesville,GA,214634,215621,216080,216895,217243,218252,219202,220435,221139,221842,222204,222651
279,Springfield,IL,113188,113291,113325,113387,113543,113605,113675,113638,113837,114051,114264,114304
280,Allentown,PA,163643,163977,163842,164034,165331,167187,168832,169538,169913,170214,170953,171367
281,Lake Charles,LA,215840,214660,213231,213621,214920,216111,215820,214537,213713,213991,214740,214854
282,Flint,MI,25712,26022,26038,26090,26301,26483,26756,26836,27055,27183,27509,27661
283,Frederick,MD,318850,319231,318938,318309,317707,317999,318169,318081,317989,317798,317542,317806
284,Hartford,CT,110561,111134,111574,112098,111959,112614,113549,114221,114666,114994,115412,115817
285,Murrieta,CA,443723,444690,446839,447426,447341,447735,448519,449087,448647,449839,450199,452591
286,Temecula,CA,483231,484229,486579,487166,487314,487884,488805,489471,488975,490389,490965,493621
287,Hemet,CA,271046,271766,273179,273781,274046,274552,275362,276100,276381,277482,278198,279945
288,East Los Angeles,CA,470266,468895,467926,468426,471804,475334,475787,475239,475943,479501,482576,486049
